ID,MID,WILAYAH,CHANNEL
,203164975,WPL,PPP
,203164983,WPL,PPP
,203164991,WPL,PPP
,203165006,WPL,PPP
,203165014,WPL,PPP
,203165022,WPL,PPP
,203165030,WPL,PPP
,203165048,WPL,PPP
,203165055,WPL,PPP
,203165063,WPL,PPP
,203165071,WPL,PPP
,203165089,WPL,PPP
,203165097,WPL,PPP
,203165105,WPL,PPP
,203165113,WPL,PPP
,203165121,WPL,PPP
,203165139,WPL,PPP
,203165147,WPL,PPP
,203165154,WPL,PPP
,203165162,WPL,PPP
,203165170,WPL,PPP
,203165188,WPL,PPP
,203165196,WPL,PPP
,203165204,WPL,PPP
,203165212,WPL,PPP
,203165220,WPL,PPP
,203165238,WPL,PPP
,203165246,WPL,PPP
,203165253,WPL,PPP
,203165261,WPL,PPP
,203165279,WPL,PPP
,203165287,WPL,PPP
,203165295,WPL,PPP
,203165303,WPL,PPP
,203165311,WPL,PPP
,203165329,WPL,PPP
,203165337,WPL,PPP
,203165345,WPL,PPP
,203165352,WPL,PPP
,203165360,WPL,PPP
,203165378,WPL,PPP
,203165386,WPL,PPP
,203165394,WPL,PPP
,203165402,WPL,PPP
,203165410,WPL,PPP
,203165428,WPL,PPP
,203165436,WPL,PPP
,203165444,WPL,PPP
,203165451,WPL,PPP
,203165469,WPL,PPP
,203165477,WPL,PPP
,203165485,WPL,PPP
,203165493,WPL,PPP
,203165501,WPL,PPP
,203165519,WPL,PPP
,203165527,WPL,PPP
,203165535,WPL,PPP
,203165543,WPL,PPP
,203165550,WPL,PPP
,203165568,WPL,PPP
,203165576,WPL,PPP
,203165584,WPL,PPP
,203165592,WPL,PPP
,203165600,WPL,PPP
,203165618,WPL,PPP
,203165626,WPL,PPP
,203165634,WPL,PPP
,203165642,WPL,PPP
,203165659,WPL,PPP
,203165667,WPL,PPP
,203165675,WPL,PPP
,203165683,WPL,PPP
,203165691,WPL,PPP
,203165709,WPL,PPP
,203165717,WPL,PPP
,203165725,WPL,PPP
,203165733,WPL,PPP
,203165741,WPL,PPP
,203165758,WPL,PPP
