NO,MID,MERCHANT DBA NAME,STATUS EDC,OPENDATE,CITY,MSO,SOURCE CODE,POS1
4140,001028729,CROWN PREMIER LOUNGE     ,08,100909,MEDAN        ,000,A1X1MA000000000000,001
4141,001028737,SURYA CITRA KERAMIK      ,08,031109,MEDAN        ,146,A1X2MA000000000000,001
4142,001028745,MAXIMART SPRMKT MBL      ,01,061109,MEDAN        ,100,B1X2MA007007006AK1,009
4143,001028752,W.SYARIAH ACEH MBL       ,08,051109,MEDAN        ,187,B1X2MA000000000000,001
4144,001028760,IFA FROSSY               ,08,160909,MEDAN        ,093,A1X2DA000000000000,001
4145,001028794,D SUN BLAZE              ,08,191109,MEDAN        ,168,A1X2MA000000000000,001
4146,001028802,TANAKI ELECT COM MBL     ,08,121209,MEDAN        ,167,B1X2MA000000000000,001
4147,001028828,MITRA ANDA MEDAN         ,08,091209,MEDAN        ,146,A1X2MA000000000000,001
4148,001028836,PLATINUM BOUTIQUE MBL    ,08,121209,MEDAN        ,093,B1X2DA000000000000,001
4149,001028844,GUNUNG MAS               ,08,111109,DELISERDANGG ,146,A1X2MA000000000000,001
4150,001028851,RM LIDAH BERGOYANG       ,08,091109,MEDAN        ,146,A1X2MA000000000000,001
4151,001028869,HORAS PORSEA             ,08,091009,MEDAN        ,093,A1X2DA000000000000,001
4152,001028877,SPBU 14 205 156          ,08,150909,MEDAN        ,178,A1X2MA000000000000,002
4153,001028885,SOPP POS SETIA BUDI      ,01,291009,MEDAN        ,100,A1X1MA000000000000,001
4154,001028893,UD HJ SUMMA              ,08,051109,DELI SERDANG ,146,A1X2MA000000000000,001
4155,001028901,UTAMA JAYA COM MBL       ,08,051109,MEDAN        ,167,                  ,001
4156,001028927,KY PONSEL MBL            ,08,091009,MEDAN        ,187,B1X2MA000000000000,001
4157,001028935,XCARREFOUR MEDAN CITRA   ,08,201009,MEDAN        ,100,A1X1MA000000000000,028
4158,001028943,ROEMAH SPREI GORDEN MBL  ,01,131109,MEDAN        ,168,B1X2MA007003006AK1,001
4159,001028950,ZAHRA TOUR & TRAVEL      ,08,101109,MEDAN        ,187,A1X1MA000000000000,001
4160,001028968,EXH ROEMAH TENUN MBL     ,08,110909,MEDAN        ,096,B3X2DA000000000000,001
4161,001028976,01 PM MBL                ,08,061109,MEDAN        ,146,B1X2MA000000000000,001
4162,001028984,BLESS OPTICAL            ,08,231009,MEDAN        ,146,A1X2MA146000000000,001
4163,001028992,EXH MLW BANDA ACEH MBL   ,08,301009,BANDA ACEH   ,175,B3X1MA000000000000,001
4164,001029008,BENG ELEKTRONIK SQUARE   ,08,011209,MEDAN        ,093,A1X2DA000000000000,001
4165,001029016,PRINCESS                 ,08,170909,MEDAN        ,146,A1X2MA000000000000,001
4166,001029024,AQUARIUS SPA&REFLEXOLOGI ,08,161009,MEDAN        ,178,A1X2MA000000000000,001
4167,001029032,SB FURNITURE MEDAN       ,08,291009,MEDAN        ,087,A1X1MA000000000000,001
4168,001029040,EXH MLW TELECOM MEDAN MBL,08,301009,MEDAN        ,175,B3X1MA000000000000,001
4169,001029057,YUENS BAGS COLL MBL      ,08,071209,MEDAN        ,093,B1X2DA000000000000,001
4170,001029065,PENANG CORNER            ,08,150909,MEDAN        ,146,A1X2MA000000000000,001
4171,001029073,TERANG MAKMUR MBL        ,01,101109,MEDAN        ,168,A1X2MA007810006FS1,001
4172,001029081,SPBU MARELAN RAYA        ,08,271009,MEDAN        ,146,A1X2MA000000000000,003
4173,001029099,TOKO MAS DANIEL P MBL    ,01,051109,MEDAN        ,146,B1X2MA000000000000,001
4174,001029107,DECLEOR                  ,08,101109,MEDAN        ,146,A1X2MA000000000000,001
4175,001029115,TOKO SARUPA              ,08,101109,MEDAN        ,146,A1X2MA000000000000,001
4176,001029123,DEKORINDO                ,08,171109,MEDAN        ,168,A1X2MA000000000000,001
4177,001029131,APOTIK K 24 H.M. YAMIN   ,08,131109,MEDAN        ,168,A1X2MA006898006AK1,001
4178,001029149,APOTIK K 24 KRAKATAU     ,08,131109,MEDAN        ,168,A1X1MA000000000000,001
4179,001029156,TOKO BUKU SPEKTRA MBL MDN,08,041109,MEDAN        ,100,B1X1MA000000000000,001
4180,001029164,ASIAMART                 ,01,281109,BANDAACEHH   ,146,A1X2MA007007050AK1,002
4181,001029172,OPTIK INTERNASIONAL 1    ,08,091209,MEDAN        ,146,A1X2MA000000000000,001
4182,001029180,OPTIK INTERNASIONAL 2    ,08,091209,MEULABOH     ,146,A1X2MA000000000000,001
4183,001029198,SETIA BUDI PERABOT       ,08,281109,MEDAN        ,093,A1X2DA000000000000,001
4184,001029206,APOTIK K 24 ISKANDAR MD  ,08,131109,MEDAN        ,168,A1X1MA000000000000,001
4185,001029214,PRODATA INTI GRAHA       ,08,151109,BANDA ACEH   ,100,                  ,001
